2021-10-23 23:43:49.883834|test|Ne demek istediğini anlayamadım &#129300;Aşağıdaki mesaj kutusuna 'yardım' yazarak benimle nasıl konuşacağını öğrenebilirsin
2021-10-23 23:43:54.697323|mrb|Hey ! Merhaba &#128512;
2021-10-23 23:45:01.592935|test|Üzgünüm anlayamadım &#129300; Aşağıdaki mesaj kutusuna 'yardım' yazarak benimle nasıl konuşacağını öğrenebilirsin
2021-10-23 23:45:05.833652|mrb|Merhaba ! Benimle konuştuğun için sevindim &#128512;
2021-10-23 23:46:24.303020|test|Ne demek istediğini anlayamadım &#129300;Aşağıdaki mesaj kutusuna 'yardım' yazarak benimle nasıl konuşacağını öğrenebilirsin
2021-10-23 23:46:29.148682|mrb|Hey ! Merhaba &#128512;
2021-10-23 23:54:40.441428|test|Üzgünüm anlayamadım &#129300; Aşağıdaki mesaj kutusuna 'yardım' yazarak benimle nasıl konuşacağını öğrenebilirsin
2021-10-23 23:54:48.488905|mrb|Merhaba ! Benimle konuştuğun için sevindim &#128512;
2021-10-23 23:55:02.648389|nasılsın|Harikayım. Sen ?
2021-10-23 23:55:12.250980|bende iyiyim tesekkürler|Umarım herşey yolundadır &#128512;
2021-10-23 23:59:35.363746|test|Üzgünüm anlayamadım &#129300; Aşağıdaki mesaj kutusuna 'yardım' yazarak benimle nasıl konuşacağını öğrenebilirsin
2021-10-23 23:59:40.430777|mrb|Merhaba ! Benimle konuştuğun için sevindim &#128512;
2021-10-24 00:00:07.809703|einstein kimdir|Ünlü bir fizikçi
2021-10-24 00:00:44.118783|anştayn|1921 yılında ‘Kuramsal fiziğe verdiği hizmetler ve özellikle fotoelektrik etkiyi buluşu için’ kendisine Nobel Fizik Ödülü verilmiştir.
2021-10-24 00:01:30.978901|test|Üzgünüm anlayamadım &#129300; Aşağıdaki mesaj kutusuna 'yardım' yazarak benimle nasıl konuşacağını öğrenebilirsin
2021-10-24 00:01:38.402802|einstein|1921 yılında ‘Kuramsal fiziğe verdiği hizmetler ve özellikle fotoelektrik etkiyi buluşu için’ kendisine Nobel Fizik Ödülü verilmiştir.
2021-10-24 00:02:00.767841|anştayn kimdir|e=mc2
2021-10-24 00:02:15.148717|einstein kimdir|e=mc2
2021-10-24 00:02:25.159547|einstein|1921 yılında ‘Kuramsal fiziğe verdiği hizmetler ve özellikle fotoelektrik etkiyi buluşu için’ kendisine Nobel Fizik Ödülü verilmiştir.
2021-10-24 00:03:34.873948|test|Üzgünüm anlayamadım &#129300; Aşağıdaki mesaj kutusuna 'yardım' yazarak benimle nasıl konuşacağını öğrenebilirsin
